source,target,weight
84353,25240,1
84353,296466,1
84353,363165,1
84353,303745,1
84353,24596,1
84353,81780,1
84353,313243,1
84353,360745,1
84353,361230,1
84353,314329,1
84353,64537,1
84353,689918,1
84353,303398,1
84353,64031,1
84353,100314000,1
84353,83504,1
84353,170583,1
84353,29583,1
84353,59301,1
84353,81687,1
84353,115771,1
84353,24377,1
84353,24534,1
84353,24617,1
84353,24641,1
84353,24668,1
84353,24701,1
84353,24849,1
84353,24896,1
84353,24944,1
84353,25232,1
84353,25328,1
84353,25498,1
84353,25581,1
84353,25596,1
84353,25687,1
84353,29374,1
84353,50671,1
84353,54318,1
84353,64202,1
84353,64475,1
84353,64513,1
84353,64524,1
84353,79120,1
84353,83765,1
84353,84472,1
84353,115769,1
84353,116483,1
84353,116484,1
84353,116685,1
84353,117180,1
84353,171155,1
84353,191576,1
84353,286896,1
84353,287552,1
84353,287571,1
84353,287772,1
84353,287984,1
84353,288305,1
84353,288620,1
84353,289717,1
84353,291006,1
84353,292852,1
84353,293725,1
84353,295107,1
84353,295230,1
84353,298298,1
84353,299488,1
84353,299809,1
84353,300069,1
84353,302855,1
84353,303073,1
84353,303281,1
84353,303792,1
84353,306071,1
84353,306804,1
84353,308755,1
84353,309499,1
84353,312251,1
84353,312444,1
84353,312981,1
84353,313494,1
84353,313647,1
84353,314432,1
84353,315265,1
84353,315795,1
84353,316313,1
84353,317399,1
84353,360748,1
84353,360818,1
84353,361512,1
84353,361596,1
84353,361798,1
84353,362335,1
84353,362687,1
84353,363009,1
84353,363563,1
84353,367313,1
84353,498407,1
84353,682408,1
84353,689890,1
84353,689949,1
84353,100360205,1
84353,100361376,1
84353,100314241,1
84353,29386,1
84353,89823,1
84353,25751,1
84353,100314080,1
84353,25467,1
84353,24494,1
84353,24498,1
84353,24835,1
84353,25361,1
84353,363287,1
84353,100314222,1
84353,100314194,1
84353,287362,1
84353,291905,1
84353,312320,1
84353,500985,1
84353,100314144,1
84353,100314218,1
84353,25248,1
84353,57302,1
84353,289144,1
84353,100360552,2
84353,113970,2
84353,114028,2
84353,114764,2
84353,65027,2
84353,26955,2
84353,291234,2
84353,89803,2
84353,50686,2
84353,266608,2
84353,54244,2
84353,170915,2
84353,24586,2
84353,29486,2
84353,24208,2
84353,83826,2
84353,81507,2
84353,24409,2
84353,170911,2
84353,84006,2
84353,25729,2
84353,362817,2
84353,29393,2
84353,305230,2
84353,83720,2
84353,116777,2
84353,25745,2
84353,24890,2
84353,287357,2
84353,50522,2
84353,294562,2
84353,114122,2
84353,25565,2
84353,29627,2
84353,25522,2
84353,65129,2
84353,81918,2
84353,304407,2
84353,317674,2
84353,24599,2
84353,294515,2
84353,25098,2
84353,81762,2
84353,24159,2
84353,25626,2
84353,64159,2
84353,116479,2
84353,306871,2
84353,364707,2
84353,293621,2
84353,287876,2
84353,362938,2
84353,25252,2
84353,399489,2
84353,116466,2
84353,29423,2
84353,316052,2
84353,58868,2
84353,25022,2
84353,25443,2
84353,287925,2
84353,25402,2
84353,24408,2
84353,140584,2
84353,25444,2
84353,25295,2
84353,24211,2
84353,25404,2
84353,54241,2
84353,81830,2
84353,83531,2
84353,114766,2
84353,304978,2
84353,310710,2
84353,361029,2
84353,100126191,2
84353,500666,2
84353,24525,2
84353,85471,2
84353,29373,2
84353,64444,2
84353,363854,2
84353,25125,2
84353,58850,2
84353,171046,2
84353,414065,2
84353,56718,2
84353,25313,2
84353,64462,2
84353,308265,2
84353,29410,2
84353,314322,2
84353,24680,2
84353,25636,2
84353,59114,2
84353,25267,2
84353,100314232,2
84353,299802,2
84353,29560,2
84353,302526,2
84353,353305,2
84353,312451,3
84353,298696,3
84353,24252,3
84353,114557,3
84353,25094,3
84353,54284,3
84353,25744,3
84353,25496,3
84353,29495,3
84353,81521,3
84353,363875,3
84353,64566,3
84353,24329,3
84353,361598,3
84353,300673,3
84353,29577,3
84353,94201,3
84353,25406,3
84353,140589,3
84353,25631,3
84353,293649,3
84353,266714,3
84353,24410,3
84353,114505,3
84353,81516,3
84353,24842,3
84353,83571,3
84353,50554,3
84353,140586,3
84353,25718,3
84353,305922,3
84353,309122,3
84353,363595,4
84353,24224,4
84353,303811,4
84353,310552,4
84353,310704,4
84353,25737,4
84353,315294,4
84353,305679,4
84353,367218,4
84353,24882,4
84353,54319,4
84353,361839,4
84353,83837,4
84353,24392,4
84353,293897,4
84353,312781,4
84353,289229,4
84353,307618,4
84353,266715,4
84353,297357,5
84353,24817,5
84353,84402,5
84353,84382,5
84353,29499,5
84353,499593,5
84353,50557,5
84353,503000,6
84353,59086,6
84353,64465,6
84353,83497,6
84353,297893,6
84353,24482,6
84353,363014,6
84353,83721,7
84353,25664,7
84353,114850,7
84353,315196,7
84353,24185,7
84353,25296,7
84353,29134,10
84353,84426,10
84353,311163,12
84353,58919,14
84353,114487,14
84353,24577,15
84353,679869,16
84353,24881,16
84353,81679,17
84353,292994,17
84353,303181,18
84353,307505,21
84353,79257,21
84353,24205,24
84353,83501,27
84353,161452,29
84353,84027,38
84353,83502,46
83613,81822,1
116671,81822,1
497672,24835,1
360543,81822,1
24572,24835,1
24514,24835,4
24918,24835,3
25365,81822,1
116549,24835,1
192218,81822,2
288471,81822,2
24914,24835,1
25705,24835,2
24949,81822,2
24176,24835,1
117273,81822,1
117273,24835,1
29437,81822,4
29437,24835,1
50685,81822,1
294568,81822,1
81818,81822,5
29148,24835,1
79451,24835,2
291760,24835,1
24600,81822,2
24600,24835,4
25537,81822,1
25537,24835,1
79433,81822,3
25099,24835,1
24362,81822,5
24703,24835,2
24788,81822,3
24962,81822,1
25046,81822,1
29431,24835,2
29432,81822,1
29432,24835,1
29565,81822,1
29578,81822,1
58978,24835,2
64205,81822,2
83809,81822,1
116670,24835,1
117282,81822,3
170538,24835,1
171114,81822,1
301252,24835,1
29248,24835,1
29275,81822,3
89830,24835,1
83476,24835,2
25717,24835,3
25728,24835,2
54250,24835,2
25595,81822,1
60357,81822,1
60357,24835,1
24695,24835,1
81633,81822,2
81633,24835,2
170913,24835,1
301059,81822,3
301059,24835,8
24598,81822,2
24598,24835,2
25416,81822,5
25416,24835,1
116554,24835,9
83785,24835,7
25353,24835,1
303477,81822,2
25380,81822,5
56611,81822,6
117103,81822,1
287287,24835,17
29557,81822,1
29693,24835,1
100361818,24835,1
25622,24835,1
301737,81822,1
81634,81822,3
25453,24835,2
81686,24835,5
84577,81822,1
309165,81822,1
309165,24835,27
114587,81822,1
114587,24835,2
116640,24835,1
24153,81822,2
25591,24835,1
117535,81822,1
337868,24835,1
362834,81822,1
444985,24835,1
24602,81822,1
54226,24835,1
56227,81822,2
289257,81822,1
315840,81822,1
78968,24835,3
360820,81822,2
65189,24835,1
311622,24835,1
81649,24835,23
24335,24835,1
24245,81822,2
83805,81822,1
83805,24835,2
100314036,24835,4
24516,24835,1
24790,24835,2
25732,24835,2
29175,24835,2
498206,24835,2
170922,81822,1
81822,25108,1
81822,140908,1
81822,501164,1
81822,24407,1
81822,24414,1
81822,25054,1
81822,25150,1
81822,60355,1
81822,25097,1
81822,24644,1
81822,25684,1
81822,25712,1
81822,81802,1
81822,81804,1
81822,94199,1
81822,171577,1
81822,294269,1
81822,360873,1
81822,83718,1
81822,140694,1
81822,24253,1
81822,24366,1
81822,24438,1
81822,24609,1
81822,24614,1
81822,24646,1
81822,24777,1
81822,24891,1
81822,25283,1
81822,25303,1
81822,25611,1
81822,25685,1
81822,50572,1
81822,50692,1
81822,83569,1
81822,84511,1
81822,171133,1
81822,497840,1
81822,25493,1
81822,81736,1
81822,308496,1
81822,100360982,1
81822,29177,1
81822,50871,1
81822,553106,1
