geneID,symbol
102554136,Zfp780b
102554393,Adamts13
102554482,Insl5
102554647,Pasd1
102554670,LOC102554670
102554696,LOC102554696
102554851,Sertm2
102554884,Rcor1
102555079,Poln
102555331,Jpx
102555822,LOC102555822
102556031,Coa6
102556092,Zfp664
102556119,Znf354b
102556347,Cbr1l2
102556681,Sh2d1b2
102556967,Zfp719
102557111,Pura
103689940,LOC103689940
103689947,Selenbp1
103689969,Kdm6a
103689978,Senp5
103689992,Rps9
103690025,Rfwd3
103690045,Mast4
103690123,Hoxa2
103690130,Hoxa3
103690132,Hoxa1
103690163,Zfp420
103690190,Hist1h2al1
103690221,Nyap2
103690254,Try5
103690326,Dcstamp
103690343,Zfp600
103690827,Yy2
103690996,Rpl35a-ps8
103691034,Peg3
103691134,Flt3lg
103691373,Frat1
103691677,Amd1-ps1
103691737,Cripak
103691906,Lnc134
103691922,Mrpl42l1
103692131,Hoxa11
103692150,Tshr-ps1
103692282,Cd244
103692528,Scnn1d
103692906,Eif3e-ps1
103693047,Rup2l2
103693239,Arl4c
103693257,Ercc4l1
103693341,Tnfrsf13b
103693367,Myh13
103693419,Cox11
103693430,Atp5mk-ps2
103693666,Zbed6
103693683,Fcgr2a-ps1
103693803,Lnc004
103693925,Apela
103694039,Lnc012
103694097,Pgbd1
103694328,Atxn1l
103694537,LOC103694537
103694540,Zfy1
103694544,Rbmy1j
103694550,Sry3b2
103694552,Sry2
103694554,Sry3A
103694557,Ube1y1
103694559,Usp9y
104795668,Mir1247
104795669,Mir148a
104795670,Mir149
104795671,Mir15a
104795672,Mir1896
104795673,Mir3064
104795674,Mir3084a
104795675,Mir3084c
104795676,Snora19
104795677,Mir450b-1
104795678,Mir5132
104796140,Mir190a-2
104796141,Mir29c-2
104796142,Mir322-2
104796143,Mir350-2
104796144,Mir351-2
104796148,Mir503-2
104796149,Mir6317-2
104796150,Mir6319-2
104796153,Mir542-2
104796155,Mir676
104796156,Mir486
104796262,Mir1843b
104796288,Mir3084a-4
104796289,Mir1a-1
104796557,Mirlet7g
104796558,Mir452
104796626,Mir196b-2
104797222,Mir1297
104797223,Mir193b
104797224,Mir3084a-2
104797225,Mir762
104797375,Mir340-2
104797377,Mir450b-2
104797378,Mir29b-3
104797379,Mir542-3
104797513,Mir1956
104798324,Lnc001
104845257,Lnc056
104845258,Fendrr
104845260,Lnc215
104940696,Tincr
104968332,Aptr
105274309,Selenow-ps1
105841163,Mir155hg
105841230,Kantr
106345158,Cep83os
106456572,Crnde
106456573,Mirlet7bhg
106557434,Linc-rbe
106631776,Mtln
106736471,LOC106736471
108348065,Hdac6
108348073,Eif5
108348076,Ksr1
108348108,Hspa1b
108348166,Intu
108348178,Vps37c
108348181,LOC108348181
108348201,Pcdhb15
108348771,Pcdhb16
108349548,Gng5-ps3
108351734,C2cd4b
108352018,Mymx
110596864,Lnc-hc
112400,Nrg1
113886,Kif1c
113892,Nat8f3
113893,Sncb
113894,Sqstm1
113898,Prdx5
113901,Chia
113902,Ces1d
113906,Hspb8
113911,Gucy2e
113912,Rtn4r
113914,Taar1
113918,Slc6a20a
113919,Gpx5
113922,Selenof
113927,Csnk1a1
113929,Nup88
113931,Prrx2
113936,Cpb2
113937,Clec2d
113938,Snurf
113947,Maged2
113948,Bbs2
113955,Gpnmb
113956,Pecr
113958,Mrps7
113959,C5ar1
113960,Cdc42bpb
113961,Gorasp2
113965,Hadh
113970,Magi2
113976,Acsl4
113983,Pitx1
113984,Nr2f2
113990,Hmgn3
113992,Ugt1a6
113995,P2rx5
114002,Ndst2
114004,Ppp1r14a
114005,Epm2a
114017,Gfm1
114020,Nat8f5
114021,Ebna1bp2
114022,Glrx2
114023,Copb1
114024,Acsl3
114027,Dao
114028,Ctnnd2
114029,Megf8
114031,Fstl3
114032,Kcnh4
114087,Banf1
114089,Inpp5e
114090,Egr2
114091,Fcnb
114093,St14
114095,Stxbp3
114096,Idh3a
114097,Ltc4s
114098,Ltb4r2
114099,Cysltr1
114100,Sc5d
114101,Cds2
114102,Cdh23
114103,Il5ra
114104,Asah2
114105,Cxcl2
114106,Bco1
114107,Kremen1
114109,Nkx2-5
114110,Flt4
114111,Vegfc
114113,Pafah1b3
114114,Dnm1l
114115,P2rx2
114116,Cdc42bpa
114117,Gng3
114118,Gng4
114119,Gng10
114120,Gng12
114121,Ccnl1
114122,Vcan
114123,Sardh
114124,Akap1
114125,Dll3
114200,P3h1
114202,Mpp3
114203,Sh2b2
114205,Crcp
114206,Tmf1
114207,Ryr1
114208,Skil
114209,Phyh
114210,Spata2
114211,Mtnr1a
114212,Chek2
114213,Rax
114214,Dffa
114215,Insl3
114216,S100a3
114243,Nox1
114244,Hcn2
114245,Hcn3
114246,Trpv6
114247,Slfn4
114248,Pde6h
114300,Gtpbp4
114481,Dnajc14
114482,Nek2
114483,Cdk6
114483548,Mir709
114485,Dmtf1
114486,Braf
114487,Wnt2
114488,Rbm3
114489,Dag1
114490,Cited2
114491,Cited4
114492,Ccl28
114493,Cacna1f
114494,Ccna2
114495,Map2k6
114496,Bik
114498,Dmrt1
114499,Hdgf
114500,Gbx2
114501,Lmx1b
114502,Pax3
114503,Pou4f1
114504,Msx3
114505,Klf4
114506,Ankh
114507,Slc5a3
114508,Fbp2
114509,Mapk7
114510,Mllt3
114511,Emb
114512,Aatf
114513,Rasgrf2
114514,Clasp2
114515,Lancl1
114516,Glra3
114517,Itga6
114518,Slc7a10
114519,Nfil3
114520,Strn3
114521,Tdg
114522,Stag3
114523,Ntn1
114524,Ntn3
114552,Bcl2l10
114553,Ncf1
114554,Pi4k2a
114555,Casp4
114557,Wif1
114558,Becn1
114559,Arhgef7
114560,Rap2a
114561,Pitpnb
114562,Cdc37
114587,Dlk1
114588,Cdh4
114589,Cntn5
114590,Ubqln1
114591,Dpp3
114592,Aurkb
114593,Nppc
114595,Csn1s2a
114597,Suclg1
114598,Clec4f
114612,Ddx39b
114613,Slc5a5
114628,Abcg5
114629,Slc26a3
114630,Atp5mc3
114632,Aimp1
114633,Plce1
114634,Six1
114635,Trafd1
114636,Zyx
114637,Hmgn2
114638,Hps1
114639,Zp3
114700,Cyp27b1
114705,Rgs14
114709,Ifitm2
114711,Gne
114764,Mapre1
114765,Wbp4
114766,Phb2
114767,Ptpre
114768,Uox
114839,Ccnc
114845,Klf3
114846,Gsto1
114850,Wnt7a
114851,Cdkn1a
114856,Dusp1
114858,Shc3
114859,Eif2ak4
114860,Gale
114862,Cacna1h
114901,Sorbs2
114903,Lim2
114906,Pkia
115769,Tjp2
115771,Usp2
116455,Atp6v0a2
116456,Dnajc2
116457,Mapk8ip1
116458,Ipo13
116459,Serpini1
116462,Ptcra
116464,Ncoa6
116465,Ifngr1
116466,Wnt2b
116467,Tm4sf4
116468,Rfc2
116469,Trpv5
116470,Stx1a
116472,Il17b
116474,Prl2a1
116475,Ift172
116477,Wnk1
116478,Kidins220
116479,F11r
116482,Sacm1l
116483,Dars1
116484,Txn1
116486,Sec14l2
116487,Tgfbi
116489,Kcnk4
116490,Snai1
116491,Kcnk6
116493,Gripap1
116498,F2rl3
116499,Fgf4
116500,Snap29
116501,Nherf2
116502,Bak1
116504,Mprip
116506,Calcr
116508,Nrxn3
116509,Slc6a9
116510,Timp1
116543,Ebf1
116544,Pou2f3
116545,Pou6f1
116546,Ralb
116547,S100a8
116548,Pcsk5
116549,Csnk2a1
116550,Atp5f1c
116551,Pdk1
116552,Plod1
116553,Il13
116554,Mapk8
116555,Nup107
116556,Gucy2f
116557,Foxj1
116558,Il9
116560,Kcnj9
116561,Cltb
116562,Il2
116563,Ap2m1
116564,Npr2
116565,Lrpap1
116568,Ggt1
116569,Lct
116589,Serpinb5
116590,Mapk1
116591,Fcgr2a
116592,Tff2
116593,Upb1
116595,Nrxn2
116596,Map3k8
116597,Opcml
116598,Pdia4
116599,Blvra
116600,Cacnb2
116601,Atp2a1
116621582,Derpc
116630,Csf2
116631,Nat1
116632,Nat2
116633,Akap8
116635,Scg3
116636,Eif4ebp1
116637,Ccl4
116638,Slc17a7
116639,Cux1
116640,Tnc
116641,Lgals8
116642,Slc28a1
116643,Vcp
116644,Rtn1
116645,Plaa
116646,Tpt1
116647,Nlgn1
116648,Phox2a
116649,Kcnj4
116650,Srp54a
116651,E2f5
116653,Cap2
116654,Exoc4
116655,Hnrnpm
116656,Cdc123
116657,Cplx2
116658,Cntn4
116659,Dync1i2
116660,Ptprn
116662,Ecm1
116663,Dusp6
116664,Atp6v1f
116665,Rere
116666,Lman1
116667,Map3k1
116668,Myt1l
116669,Vwf
116670,Ppp1r12a
116671,Cdk5r1
116673,Sdc3
116674,Jdp2
116675,Pgap2
116676,Aldh1a2
116677,F2rl1
116679,Cgrrf1
116680,Ptpru
116681,Dlgap2
116682,Kynu
116683,Efna5
116685,Lmnb1
116686,Gsr
116687,Dnase1l3
116689,Ptpn6
116690,Nfasc
116691,Cyth1
