geneID,symbol,degree
100361092,Malrd1,2
100361133,Mycbp,33
100361134,Shisa9,24
100361138,Dgkq,17
100361188,Etfrf1,1
100361194,Or7h8,1
100361238,Rasgef1b,1
100361261,LOC100361261,2
100361269,Snrpa1,119
100361294,Tyk2,35
100361323,Astn2,3
100361376,Kank2,102
100361383,Ecm2,73
100361414,Pate3,11
100361417,Tbcd,4
100361444,Angptl8,3
100361457,Actg1l1,192
100361465,Pate2,15
100361503,Zfp717,9
100361517,Psmg3,7
100361529,Rad9a,17
100361543,Lamtor1l1,3
100361558,H3f3a,86
100361568,Hilpda,18
100361571,Krtap1-1,1
100361574,Polr2k,53
100361584,Ano2,10
100361633,Cd300ld,2
100361647,Galnt6,4
100361657,Pate1,15
100361658,Usp37,16
100361684,Simc1,3
100361706,Iglc1,3
100361765,Hoxb2,37
100361774,Ralgps1,1
100361814,Ear1l1,13
100361818,Nfatc1,119
100361828,Pate6l,11
100361830,Tram2,4
100361854,Rps26l5,82
100361884,Prl8a3,58
100361891,Rab5al1,94
100361909,Ear1,8
100361923,Ikzf4,7
100361939,Rnaseh2c,2
100361947,Zfp42,3
100362027,Rpl30l2,2
100362031,Krtap4-6,6
100362059,Ttc16,59
100362078,Pate5,11
100362120,Catsperz,6
100362121,Ddb2,40
100362124,Ift140,92
100362142,Ube2v1-ps2,21
100362155,Tmem276,1
100362202,Znf408,6
100362255,Adgrv1,123
100362279,Trappc3l,13
100362311,Arhgap33,18
100362324,Dhx29,4
100362333,Pole3-ps3,4
100362346,Mta3,25
100362347,Fnip1,16
100362441,Gpr82,1
100362458,Gigyf2,8
100362470,Mrtfb,9
100362495,Haus5,5
100362547,Ap1g2,8
100362548,Elp3,6
100362554,Otulin,20
100362555,Sptssb,5
100362565,Pkd1l3,4
100362572,Mpv17l,45
100362580,Spag11b,41
100362588,Izumo3,1
100362601,Scgb1d2-ps1,2
100362634,Kmt2d,69
100362640,Rps4x,123
100362644,Slc2a7,3
100362678,Epc1,37
100362710,Tiam2,7
100362725,Cdkl5,3
100362729,Igfl3,1
100362805,Txndc5,1
100362836,Poc1b,1
100362895,Hsp90aa1-ps17,23
100362940,Snx21,1
100363012,Rps21-ps1,85
100363053,Tas2r145,14
100363125,H2al3,6
100363145,Stab1,1
100363176,Polr2k-ps2,11
100363178,Tmigd3,1
100363253,Nt5c2,7
100363275,Adgra2,8
100363276,Arhgap6,6
100363332,Card11,107
100363439,Rps10l1,27
100363492,Ly6k,2
100363502,Cycs-ps9,4
100363539,Mrpl33,51
100364002,Rhox9l1,1
100364162,Rnf11,20
100364165,Nktr,14
100364350,Nwd1,3
100364435,Tmsb10-ps6,1
100364568,Rprd2,5
100364835,H2bc6,13
100364984,Rab37,20
100364990,Pdss1,1
100365184,Prdm14,16
100365370,Ctdsp2,10
100365504,Sf3b6,112
100365679,Dennd5b,36
100365683,Nr2e3,38
100365773,Oca2,23
100365872,Eif4ebp3,31
100365921,Pigy,2
100366017,Ube2e1,36
100366024,Prdm16,64
100366030,Zfp658l1,1
100366237,Pfdn4,5
100498801,Mir295-2,36
100499406,Cct2-ps1,69
100499407,Cct3-ps1,69
100499410,Cct3-ps4,69
100499415,Cct6a-ps5,69
100499419,Cct6a-ps15,69
100499431,Cct7-ps3,69
100499432,Cct8-ps1,69
100499433,Cct8-ps2,69
100499447,Hspd1-ps9,69
100499448,Hspd1-ps15,69
100499449,Hspd1-ps17,69
100499450,Hspd1-ps18,69
100499451,Hspd1-ps22,69
100499452,Hspd1-ps28,69
100499453,Hspd1-ps31,69
100499454,Hspd1-ps32,69
100526564,Mir203-2,136
100526574,Mirlet7f-1,179
100526581,Mir3597-1,111
100526582,Mir126a,169
100526583,Mir216b,79
100526597,Mir3582,63
100526602,Mir3587,1
100526603,Mir702,1
100526606,Mir3590,11
100526611,Mir3120,2
100526615,Mir3551,2
100526621,Mir3557,166
100526624,Mir1b,5
100526625,Mir344b-1,1
100526629,Mir449c,4
100526630,Mir193a,124
100526632,Mir291b,2
100526635,Mir208b,15
100526641,Mir151b,1
100529260,Ankhd1,90
100534597,Cenps,10
100568448,Snhg4,2
100861533,Rn18s,69
100861534,Rn5-8s,69
100861535,Rn28s,69
100909408,Zfp397,1
100909445,Ube2w,25
100909598,Pigbos1,1
100909648,Avpr1b,10
100909834,Kdm4e,47
100909949,Kmt5al1,47
100910047,Gfy,5
100910087,Adam21,2
100910102,Catsperb,6
100910104,Xirp1,29
100910107,Usp17la2,2
100910144,Ces2,3
100910202,Crnkl1,84
100910299,Larp4,27
100910342,Bbip1,6
100910343,LOC100910343,105
100910536,Elfn2,53
100910558,LOC100910558,4
100910616,Hmgn5,5
100910620,LOC100910620,105
100910731,Krtap4-3,6
100910751,Mtg1,9
100910797,Pvt1,14
100910802,LOC100910802,105
100910806,Trim15,22
100910813,Lyg2,1
100910823,Derl2,23
100910827,Oip5-as1,8
100910940,Evi2b,1
100910984,Alkal1,1
100911041,Tmem45a,2
100911068,Robo4,11
100911069,Mtfr2,1
100911235,Med7,45
100911237,Zfp502,4
100911249,Ifnl1,3
100911353,Poteml2,68
100911360,LOC100911360,105
100911370,LOC100911370,105
100911395,Agbl4,15
100911462,Txnl4a,38
100911483,Ndufa13,52
100911498,Xist,48
100911581,Faah,43
100911617,LOC100911617,5
100911668,Hoxa10,18
100911740,Mrln,11
100911757,Tshz2,1
100911796,Adora3,21
100911798,Seh1l,35
100911859,Hoxc11,5
100912012,Clec3b,109
100912032,Rps27a,153
100912083,Dancr,8
100912096,Zfp113,5
100912108,Nupr1,32
100912115,Mia2,6
100912195,LOC100912195,4
100912214,LOC100912214,105
100912216,Prcd,1
100912218,Itprip,6
100912289,Fam9c,2
100912292,Enho,6
100912302,Sox1,4
100912338,H2bc18,2
100912357,Ndufb1,48
100912416,Tcaf2c,81
100912427,Ybx1l1,108
100912489,H4c3,33
100912521,Nmrk2,9
100912525,Hoxa4,14
100912536,Styx,5
100912557,Atp5mj,18
100912563,Insm1,10
100912936,Hoxd8,5
100912942,Tcrg,1
100913063,Cd79a,19
100913081,Pate-f,11
101241893,Trim34,17
102465142,Scarna3,41
102465143,Mir509,8
102465144,Mir1306,9
102465145,Mir6215,8
102465146,Mir378b,8
102465147,Mir6216,8
102465151,Mir6314,35
102465152,Mir6315,36
102465153,Mir3102,35
102465154,Mir344g,35
102465155,Mir6317-1,35
102465156,Mir6318,35
102465157,Mir3075,38
102465158,Mir6321,36
102465159,Mir1298,36
102465160,Mir6322,35
102465161,Mir6325,35
102465162,Mir6327,35
102465163,Mir6328,35
102465164,Mir6330,35
102465165,Mir6331,35
102465166,Mir3072,35
102465167,Mir6333,35
102465168,Mir6334,35
102465751,Mir7578,1
102465831,Mir155,194
102465960,Mir6323,35
102466146,Snora58,97
102466148,Mir344i,35
102466149,Mir6326,35
102466150,Mir679,35
102466617,Scarna15,96
102466618,Mir3473,8
102466621,Mir3099,35
102466622,Mir6316,35
102466623,Mir6320,35
102466624,Mir6324,36
102466625,Mir6329,35
102466626,Mir6332,35
102466968,Mir6319-1,35
102546709,LOC102546709,105
102546758,Klk5,5
102547056,Ulbp1,5
102547118,Ezhip,9
102547219,Mosmo,5
102547353,Pantr1,3
102547755,Dbf4b,1
102547862,Lnc081,7
102548041,LOC102548041,105
102548178,Hotairm1,1
102548228,Bivm,73
102548278,LOC102548278,105
102548286,LOC102548286,4
102548559,Vcpkmt,26
102548682,H4cl1,42
102548778,Parp10,24
102549061,H2bc3,101
102549173,H3cl,1
102549228,Hdac2-ps1,7
102549247,LOC102549247,105
102549328,LOC102549328,105
102549556,LOC102549556,68
102549653,Rxfp4,1
102549710,Samd11,2
102550344,Kmt2b,70
102550385,Lyrm4,25
102550416,Sprr2f,7
102550523,Fsbp,6
102550699,Sprr2d,8
102550903,Ufsp1,5
102551071,LOC102551071,2
102551085,Xrcc3,105
