this_gene,other_gene,weight
83065593,83066647,2
83065593,83066833,2
83065679,83065947,2
83065679,83065985,2
83065679,83066000,2
83065679,83066152,2
83065679,83066486,2
83065679,83066647,2
83065679,83066833,2
83065947,83065985,2
83065947,83066000,2
83065947,83066152,2
83065947,83066486,2
83065947,83066647,2
83065947,83066833,2
83065985,83066000,2
83065985,83066152,2
83065985,83066486,2
83065985,83066647,2
83065985,83066833,2
83066000,83066152,2
83066000,83066486,2
83066000,83066647,2
83066000,83066833,2
83066152,83066486,2
83066152,83066647,2
83066152,83066833,2
83066486,83066647,2
83066486,83066833,2
83066647,83066833,2
83062616,83062849,2
83062616,83062969,2
83062616,83063493,2
83062616,83064255,2
83062616,83064321,2
83062616,83064324,2
83062616,83064347,2
83062616,83064368,2
83062616,83065197,2
83062616,83065243,2
83062616,83065325,2
83062616,83065859,2
83062616,83065985,2
83062616,83066191,2
83062616,83066198,2
83062849,83062969,2
83062849,83063493,2
83062849,83064255,2
83062849,83064321,2
83062849,83064324,2
83062849,83064347,2
83062849,83064368,2
83062849,83065197,2
83062849,83065243,2
83062849,83065325,2
83062849,83065859,2
83062849,83065985,2
83062849,83066191,2
83062849,83066198,2
83062969,83063493,2
83062969,83064255,2
83062969,83064321,2
83062969,83064324,2
83062969,83064347,2
83062969,83064368,2
83062969,83065197,2
83062969,83065243,2
83062969,83065325,2
83062969,83065859,2
83062969,83065985,2
83062969,83066191,2
83062969,83066198,2
83063493,83064255,2
83063493,83064321,2
83063493,83064324,2
83063493,83064347,2
83063493,83064368,2
83063493,83065197,2
83063493,83065243,2
83063493,83065325,2
83063493,83065859,2
83063493,83065985,2
83063493,83066191,2
83063493,83066198,2
83064255,83064321,2
83064255,83064324,2
83064255,83064347,2
83064255,83064368,2
83064255,83065197,2
83064255,83065243,2
83064255,83065325,2
83064255,83065859,2
83064255,83065985,2
83064255,83066191,2
83064255,83066198,2
83064321,83064324,2
83064321,83064347,2
83064321,83064368,2
83064321,83065197,2
83064321,83065243,2
83064321,83065325,2
83064321,83065859,2
83064321,83065985,2
83064321,83066191,2
83064321,83066198,2
83064324,83064347,2
83064324,83064368,2
83064324,83065197,2
83064324,83065243,2
83064324,83065325,2
83064324,83065859,2
83064324,83065985,2
83064324,83066191,2
83064324,83066198,2
83064347,83064368,2
83064347,83065197,2
83064347,83065243,2
83064347,83065325,2
83064347,83065859,2
83064347,83065985,2
83064347,83066191,2
83064347,83066198,2
83064368,83065197,2
83064368,83065243,2
83064368,83065325,2
83064368,83065859,2
83064368,83065985,2
83064368,83066191,2
83064368,83066198,2
83065197,83065243,2
83065197,83065325,2
83065197,83065859,2
83065197,83065985,2
83065197,83066191,2
83065197,83066198,2
83065243,83065325,2
83065243,83065859,2
83065243,83065985,2
83065243,83066191,2
83065243,83066198,2
83065325,83065859,2
83065325,83065985,2
83065325,83066191,2
83065325,83066198,2
83065859,83065985,2
83065859,83066191,2
83065859,83066198,2
83065985,83066191,2
83065985,83066198,2
83066191,83066198,2
83063145,83063743,2
83066396,83066397,2
83066262,83066853,2
83062009,83062487,2
83062009,83062650,2
83062009,83062722,2
83062009,83063554,2
83062487,83062650,2
83062487,83062722,2
83062487,83063554,2
83062650,83062722,2
83062650,83063554,2
83062722,83063554,2
83064890,83065150,2
83064890,83066315,2
83064890,83066836,2
83065150,83066315,2
83065150,83066836,2
83066315,83066836,2
83062712,83064748,2
83062712,83064943,2
83062712,83065365,2
83062712,83066307,2
83062712,83066562,2
83064748,83064943,2
83064748,83065365,2
83064748,83066307,2
83064748,83066562,2
83064943,83065365,2
83064943,83066307,2
83064943,83066562,2
83065365,83066307,2
83065365,83066562,2
83066307,83066562,2
83062472,83065553,2
83062472,83065676,2
83062472,83065727,2
83062472,83065728,2
83065553,83065676,2
83065553,83065727,2
83065553,83065728,2
83065676,83065727,2
83065676,83065728,2
83065727,83065728,2
83063738,83064547,2
83062860,83063158,2
83062860,83064584,2
83063158,83064584,2
83062550,83064189,2
83063711,83064189,2
83064189,83064807,2
83062776,83066470,2
83062025,83062878,2
83063803,83064909,2
83063612,83065163,2
83062064,83063326,2
83062010,83066355,2
83063076,83065693,2
83063663,83066590,2
83063891,83063947,2
83063947,83064188,2
83063947,83065997,2
83064188,83065997,2
83064113,83064376,2
83066162,83066784,2
83063506,83063808,2
83063506,83066440,2
83063808,83066440,2
83062240,83062732,2
83062240,83063998,2
83062732,83063998,2
83064751,83065812,2
83062041,83062045,2
83062041,83062138,2
83062041,83062139,2
83062041,83062368,2
83062041,83062369,2
83062041,83062655,2
83062041,83062656,2
83062041,83062657,2
83062041,83062757,2
83062041,83062848,2
83062041,83063102,2
83062041,83063428,2
83062041,83064117,2
83062041,83064355,2
83062041,83064356,2
83062041,83064358,2
83062041,83064549,2
83062041,83064636,2
83062041,83065817,2
83062041,83066037,2
83062041,83066385,2
83062045,83062138,2
83062045,83062139,2
83062045,83062368,2
83062045,83062369,2
83062045,83062655,2
83062045,83062656,2
83062045,83062657,2
83062045,83062757,2
83062045,83062848,2
83062045,83063102,2
83062045,83063428,2
83062045,83064117,2
83062045,83064355,2
83062045,83064356,2
83062045,83064358,2
83062045,83064549,2
83062045,83064636,2
83062045,83065817,2
83062045,83066037,2
83062045,83066385,2
83062138,83062139,2
83062138,83062368,2
83062138,83062369,2
83062138,83062655,2
83062138,83062656,2
83062138,83062657,2
83062138,83062757,2
83062138,83062848,2
83062138,83063102,2
83062138,83063428,2
83062138,83064117,2
83062138,83064355,2
83062138,83064356,2
83062138,83064358,2
83062138,83064549,2
83062138,83064636,2
83062138,83065817,2
83062138,83066037,2
83062138,83066385,2
83062139,83062368,2
83062139,83062369,2
83062139,83062655,2
83062139,83062656,2
83062139,83062657,2
83062139,83062757,2
83062139,83062848,2
83062139,83063102,2
83062139,83063428,2
83062139,83064117,2
83062139,83064355,2
83062139,83064356,2
83062139,83064358,2
83062139,83064549,2
83062139,83064636,2
83062139,83065817,2
83062139,83066037,2
83062139,83066385,2
83062368,83062369,2
83062368,83062655,2
83062368,83062656,2
83062368,83062657,2
83062368,83062757,2
83062368,83062848,2
83062368,83063102,2
83062368,83063428,2
83062368,83064117,2
83062368,83064355,2
83062368,83064356,2
83062368,83064358,2
83062368,83064549,2
83062368,83064636,2
83062368,83065817,2
83062368,83066037,2
83062368,83066385,2
83062369,83062655,2
83062369,83062656,2
83062369,83062657,2
83062369,83062757,2
83062369,83062848,2
83062369,83063102,2
83062369,83063428,2
83062369,83064117,2
83062369,83064355,2
83062369,83064356,2
83062369,83064358,2
83062369,83064549,2
83062369,83064636,2
83062369,83065817,2
83062369,83066037,2
83062369,83066385,2
83062655,83062656,2
83062655,83062657,2
83062655,83062757,2
83062655,83062848,2
83062655,83063102,2
83062655,83063428,2
83062655,83064117,2
83062655,83064355,2
83062655,83064356,2
83062655,83064358,2
83062655,83064549,2
83062655,83064636,2
83062655,83065817,2
83062655,83066037,2
83062655,83066385,2
83062656,83062657,2
83062656,83062757,2
83062656,83062848,2
83062656,83063102,2
83062656,83063428,2
83062656,83064117,2
83062656,83064355,2
83062656,83064356,2
83062656,83064358,2
83062656,83064549,2
83062656,83064636,2
83062656,83065817,2
83062656,83066037,2
83062656,83066385,2
83062657,83062757,2
83062657,83062848,2
83062657,83063102,2
83062657,83063428,2
83062657,83064117,2
83062657,83064355,2
83062657,83064356,2
83062657,83064358,2
83062657,83064549,2
83062657,83064636,2
83062657,83065817,2
83062657,83066037,2
83062657,83066385,2
83062757,83062848,2
83062757,83063102,2
83062757,83063428,2
83062757,83064117,2
83062757,83064355,2
83062757,83064356,2
83062757,83064358,2
83062757,83064549,2
83062757,83064636,2
83062757,83065817,2
83062757,83066037,2
83062757,83066385,2
83062848,83063102,2
83062848,83063428,2
83062848,83064117,2
83062848,83064355,2
83062848,83064356,2
83062848,83064358,2
83062848,83064549,2
83062848,83064636,2
83062848,83065817,2
83062848,83066037,2
83062848,83066385,2
83063102,83063428,2
83063102,83064117,2
83063102,83064355,2
83063102,83064356,2
83063102,83064358,2
83063102,83064549,2
83063102,83064636,2
83063102,83065817,2
83063102,83066037,2
83063102,83066385,2
83063428,83064117,2
83063428,83064355,2
83063428,83064356,2
83063428,83064358,2
83063428,83064549,2
83063428,83064636,2
83063428,83065817,2
83063428,83066037,2
83063428,83066385,2
83064117,83064355,2
83064117,83064356,2
83064117,83064358,2
83064117,83064549,2
83064117,83064636,2
83064117,83065817,2
83064117,83066037,2
83064117,83066385,2
83064355,83064356,2
83064355,83064358,2
83064355,83064549,2
83064355,83064636,2
83064355,83065817,2
83064355,83066037,2
83064355,83066385,2
83064356,83064358,2
83064356,83064549,2
83064356,83064636,2
83064356,83065817,2
83064356,83066037,2
83064356,83066385,2
83064358,83064549,2
83064358,83064636,2
83064358,83065817,2
83064358,83066037,2
83064358,83066385,2
83064549,83064636,2
83064549,83065817,2
83064549,83066037,2
83064549,83066385,2
83064636,83065817,2
83064636,83066037,2
83064636,83066385,2
83065817,83066037,2
83065817,83066385,2
83066037,83066385,2
83061966,83062435,2
83061966,83062702,2
83061966,83063791,2
83061966,83064481,2
83061966,83064529,2
83061966,83064779,2
83061966,83064938,2
83061966,83064976,2
83061966,83065226,2
83061966,83065337,2
83061966,83065405,2
83061966,83065440,2
83061966,83065630,2
83061966,83066127,2
83061966,83066219,2
83061966,83066254,2
83061966,83066565,2
83061966,83066611,2
83061966,83066653,2
83062435,83062702,2
83062435,83063791,2
83062435,83064481,2
83062435,83064529,2
83062435,83064779,2
83062435,83064938,2
83062435,83064976,2
83062435,83065226,2
83062435,83065337,2
83062435,83065405,2
83062435,83065440,2
83062435,83065630,2
83062435,83066127,2
83062435,83066219,2
83062435,83066254,2
83062435,83066565,2
83062435,83066611,2
83062435,83066653,2
83062702,83063791,2
83062702,83064481,2
83062702,83064529,2
83062702,83064779,2
83062702,83064938,2
83062702,83064976,2
83062702,83065226,2
83062702,83065337,2
83062702,83065405,2
83062702,83065440,2
83062702,83065630,2
83062702,83066127,2
83062702,83066219,2
83062702,83066254,2
83062702,83066565,2
83062702,83066611,2
83062702,83066653,2
83063791,83064481,2
83063791,83064529,2
83063791,83064779,2
83063791,83064938,2
83063791,83064976,2
83063791,83065226,2
83063791,83065337,2
83063791,83065405,2
83063791,83065440,2
83063791,83065630,2
83063791,83066127,2
83063791,83066219,2
83063791,83066254,2
83063791,83066565,2
83063791,83066611,2
83063791,83066653,2
83064481,83064529,2
83064481,83064779,2
83064481,83064938,2
83064481,83064976,2
83064481,83065226,2
83064481,83065337,2
83064481,83065405,2
83064481,83065440,2
83064481,83065630,2
83064481,83066127,2
83064481,83066219,2
83064481,83066254,2
83064481,83066565,2
83064481,83066611,2
83064481,83066653,2
83064529,83064779,2
83064529,83064938,2
83064529,83064976,2
83064529,83065226,2
83064529,83065337,2
83064529,83065405,2
83064529,83065440,2
83064529,83065630,2
83064529,83066127,2
83064529,83066219,2
83064529,83066254,2
83064529,83066565,2
83064529,83066611,2
83064529,83066653,2
83064779,83064938,2
83064779,83064976,2
83064779,83065226,2
83064779,83065337,2
83064779,83065405,2
83064779,83065440,2
83064779,83065630,2
83064779,83066127,2
83064779,83066219,2
83064779,83066254,2
83064779,83066565,2
83064779,83066611,2
83064779,83066653,2
83064938,83064976,2
83064938,83065226,2
83064938,83065337,2
83064938,83065405,2
83064938,83065440,2
83064938,83065630,2
83064938,83066127,2
83064938,83066219,2
83064938,83066254,2
83064938,83066565,2
83064938,83066611,2
83064938,83066653,2
83064976,83065226,2
83064976,83065337,2
83064976,83065405,2
83064976,83065440,2
83064976,83065630,2
83064976,83066127,2
83064976,83066219,2
83064976,83066254,2
83064976,83066565,2
83064976,83066611,2
83064976,83066653,2
83065226,83065337,2
83065226,83065405,2
83065226,83065440,2
83065226,83065630,2
83065226,83066127,2
83065226,83066219,2
83065226,83066254,2
83065226,83066565,2
83065226,83066611,2
83065226,83066653,2
83065337,83065405,2
83065337,83065440,2
83065337,83065630,2
83065337,83066127,2
83065337,83066219,2
83065337,83066254,2
83065337,83066565,2
83065337,83066611,2
83065337,83066653,2
83065405,83065440,2
83065405,83065630,2
83065405,83066127,2
83065405,83066219,2
83065405,83066254,2
83065405,83066565,2
83065405,83066611,2
83065405,83066653,2
83065440,83065630,2
83065440,83066127,2
83065440,83066219,2
83065440,83066254,2
83065440,83066565,2
83065440,83066611,2
83065440,83066653,2
83065630,83066127,2
83065630,83066219,2
83065630,83066254,2
83065630,83066565,2
83065630,83066611,2
83065630,83066653,2
83066127,83066219,2
83066127,83066254,2
83066127,83066565,2
83066127,83066611,2
83066127,83066653,2
83066219,83066254,2
83066219,83066565,2
83066219,83066611,2
83066219,83066653,2
83066254,83066565,2
83066254,83066611,2
83066254,83066653,2
83066565,83066611,2
83066565,83066653,2
83066611,83066653,2
83063034,83063706,2
83064275,83065225,2
83064275,83066220,2
83065225,83066220,2
83066329,83066330,2
83062814,83062859,3
83062795,83065963,3
83063804,83066398,3
83061957,83063866,3
83062125,83064431,3
83062125,83066545,3
83064431,83066545,3
83062745,83063396,3
83064197,83064545,3
83064197,83065065,3
83064197,83066145,3
83064545,83065065,3
83064545,83066145,3
83065065,83066145,3
83063580,83065099,3
83062621,83065996,3
